id,id_footprint,latitude,longitude,country,city,material,material_RUBIC_AI,llrs,llrs_RUBIC_AI,code_level,code_level_RUBIC_AI,n_stories,n_stories_RUBIC_AI,occupancy,occupancy_RUBIC_AI,block_position,block_position_RUBIC_AI,roof_shape,roof_shape_RUBIC_AI,roof_material,roof_material_RUBIC_AI,taxonomy,image filename or link
1,568006ed-4e50-4a64-93cf-d1fd8c8721a6,38.70108733,-9.204003491,Portugal,Lisbon,CR,MCF,LFM,LWAL,CDM,CDN,3,3,RES,RES,BP2,BP2,RSH1,RSH1,RMN,RMN,CR/LFM/CDM/H:3/BP2/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70108733,-9.20400349&heading=334.90461712373497&pitch=5&fov=120"
2,0292504b-05a5-4212-9beb-856f56161a0e,38.69585082,-9.217359531,Portugal,Lisbon,MUR,MUR,LWAL,LWAL,CDL,CDL,2,2,RES,RES,BP2,BP1,RSH2,RSH2,RMT1,RMT1,MUR/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69585082,-9.21735953&heading=170.85758478688405&pitch=5&fov=120"
5,279fea14-2101-4e6d-896d-fde058dfb37e,38.70022449,-9.220065804,Portugal,Lisbon,MR,,LWAL,,CDL,,3,,RES,,BP2,,RSH3,,RMT1,,MR/LWAL/CDL/H:3/BP2/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70022449,-9.2200658&heading=32.011325933409466&pitch=5&fov=120"
9,69273dd7-9483-4bdc-b5af-9dd3d80489fc,38.70446486,-9.202483129,Portugal,Lisbon,MUR,MUR,LWAL,LWAL,CDN,CDL,1,6.0-7.0,RES,RES,BP2,BP2,RSH1,RSH1,RMN,RMN,MUR/LWAL/CDN/H:1/BP2/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70446486,-9.20248313&heading=328.94915257036155&pitch=5&fov=120"
10,cd3f525f-689f-45a7-8f53-a120ffd9ee78,38.70018103,-9.203855986,Portugal,Lisbon,MUR,MUR,LWAL,LWAL,CDL,CDL,2,2,RES,RES,BPD,BP1,RSH2,RSH2,RMT1,RMT1,MUR/LWAL/CDL/H:2/BPD/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70018103,-9.20385599&heading=62.98080371621347&pitch=5&fov=120"
11,7aedc45f-aa44-4784-81fe-26dd5a69c7d9,38.69802038,-9.217282822,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDL,CDL,2,2,RES,RES,BP1,BPD,RSH3,RSH2,RMT1,RMT1,MCF/LWAL/CDL/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69802038,-9.21728282&heading=96.35156670524225&pitch=5&fov=120"
12,7d178a7e-37a2-47cb-859f-7fa8611bed5f,38.69697107,-9.218222112,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDL,CDN,2,2,RES,RES,BP2,BPD,RSH2,RSH2,RMT1,RMT1,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69697107,-9.21822211&heading=96.18695743905926&pitch=5&fov=120"
13,6d12a225-53e9-45a3-ad91-ebaa606f63dc,38.69678183,-9.217493005,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDL,CDN,2,2,RES,RES,BP2,BP2,RSH2,RSH2,RMT1,RMT1,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69678183,-9.21749301&heading=90.52225418086334&pitch=5&fov=120"
14,d150deb8-8670-4c89-aa0c-11406d4ea20d,38.69730575,-9.194598457,Portugal,Lisbon,CR,MUR,LFM,LWAL,CDL,CDN,3,5,MIX(RES;COM),MIX(RES;COM),BP2,BP2,RSH1,RSH1,RMN,RMN,CR/LFM/CDL/H:3/BP2/RSH1+RMN/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69730575,-9.19459846&heading=153.21894299346445&pitch=5&fov=120"
15,11e2099a-eb1e-49ab-9cbc-daf786d6689a,38.69711407,-9.201848556,Portugal,Lisbon,CR,MUR,LFM,LWAL,CDL,CDN,4,5,MIX(RES;COM),COM,BP1,BPD,RSH1,RSH1,RMN,RMN,CR/LFM/CDL/H:4/BP1/RSH1+RMN/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69711407,-9.20184856&heading=151.68601023298294&pitch=5&fov=120"
16,05617c02-a7b1-4fe3-8825-fa88a461a8e2,38.69956695,-9.222920699,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDM,CDN,2,2,RES,COM,BP1,BP1,RSH3,RSH2,RMT1,RMT1,MCF/LWAL/CDM/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69956695,-9.2229207&heading=302.5966113449633&pitch=5&fov=120"
17,9e446e4b-879a-4c26-aa8e-2b62dadf7ce1,38.69975025,-9.203481202,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDL,CDN,2,2,RES,RES,BP2,BP1,RSH2,RSH2,RMT1,RMT1,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69975025,-9.2034812&heading=260.14023177888066&pitch=5&fov=120"
18,afe76852-b4f8-4d4c-b6f8-aec85608707f,38.70022803,-9.199722536,Portugal,Lisbon,CR,MUR,LFINF,LWAL,CDL,CDL,4,3,EDU,RES,BP1,BP1,RSH2,RSH1,RMT1,RMN,CR/LFINF/CDL/H:4/BP1/RSH2+RMT1/EDU,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70022803,-9.19972254&heading=56.89493333456454&pitch=5&fov=120"
19,99abcc37-b11f-40a6-a89f-9f5768234abb,38.70023668,-9.202231801,Portugal,Lisbon,MUR,MUR,LWAL,LWAL,CDN,CDN,1,1,COM,RES,BPD,BPD,RSH3,RSH2,RMT1,RMT1,MUR/LWAL/CDN/H:1/BPD/RSH3+RMT1/COM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70023668,-9.2022318&heading=150&pitch=5&fov=120"
20,372c2a49-2f56-410f-b639-ff4ec93be038,38.69448238,-9.213572235,Portugal,Lisbon,MCF,MCF,LWAL,LWAL,CDL,CDL,2,2,RES,RES,BP2,BPD,RSH2,RSH2,RMT1,RMT1,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69448238,-9.21357223&heading=149.09848740950804&pitch=5&fov=120"
22,c3961c86-58ac-4fa7-8cac-a1b4adfa2901,38.7027835,-9.218653182,Portugal,Lisbon,CR,,LFM,,CDM,,2,,RES,,BPD,,RSH3,,RMT1,,CR/LFM/CDM/H:2/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7027835,-9.21865318&heading=121.02598080047153&pitch=5&fov=120"
23,0094b437-a438-43ff-8c68-bd9ccfda8647,38.7030885,-9.2163602,Portugal,Lisbon,CR,,LFM,,CDM,,3,,RES,,BPD,,RSH3,,RMT1,,CR/LFM/CDM/H:3/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7030885,-9.2163602&heading=206.01406544707316&pitch=5&fov=120"
24,da7d23b6-59ba-4c4e-a35a-7895ccc59010,38.69726855,-9.210472638,Portugal,Lisbon,CR,,LFM,,CDH,,2,,RES,,BPD,,RSH1,,RMN,,CR/LFM/CDH/H:2/BPD/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69726855,-9.21047264&heading=307.3724428345927&pitch=5&fov=120"
25,6d34bca9-b13e-496d-b9fe-c9dca4da5d82,38.7023202,-9.2050589,Portugal,Lisbon,MUR,MUR,LWAL,LWAL,CDN,CDN,1,1,RES,RES,BP2,BPD,RSH2,RSH2,RMT1,RMT1,MUR/LWAL/CDN/H:1/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7023202,-9.2050589&heading=156.1975105957905&pitch=5&fov=120"
26,b959afa1-7d9a-4624-8e74-2791567e5b9d,38.70255143,-9.20273445,Portugal,Lisbon,CR,MUR,LFM,LWAL,CDL,CDN,4,2,MIX(RES;COM),MIX(RES;COM),BP1,BP2,RSH1,RSH2,RMN,RMT1,CR/LFM/CDL/H:4/BP1/RSH1+RMN/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70255143,-9.20273445&heading=153.8117516136855&pitch=5&fov=120"
27,2ae9c7ed-f224-4335-8d34-d5657099beb7,38.69998609,-9.221066442,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDL,CDL,2,2,RES,RES,BP1,BPD,RSH3,RSH2,RMT1,RMT1,MCF/LWAL/CDL/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69998609,-9.22106644&heading=213.5181407556713&pitch=5&fov=120"
28,3083eb76-188f-4e05-97b9-e693893386bc,38.70231665,-9.203498103,Portugal,Lisbon,MCF,MUR,LWAL,LWAL,CDM,CDL,3,3,RES,RES,BP1,BP1,RSH1,RSH2,RMN,RMT1,MCF/LWAL/CDM/H:3/BP1/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70231665,-9.2034981&heading=174.20288944066442&pitch=5&fov=120"
29,5c69ace7-d24b-4a40-a880-c93153cae5e5,38.69672739,-9.217399183,Portugal,Lisbon,MUR,,LWAL,,CDL,,1,,RES,,BP1,,RSH2,,RMT1,,MUR/LWAL/CDL/H:1/BP1/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69672739,-9.21739918&heading=269.37849443940064&pitch=5&fov=120"
30,fe787f9b-65cd-4f41-bdd8-aeaea887c0c1,38.69462958,-9.216589937,Portugal,Lisbon,MUR,MUR,LWAL,LWAL,CDN,CDL,2,3,RES,MIX(RES;COM),BP1,BP1,RSH3,RSH1,RMT1,RMN,MUR/LWAL/CDN/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69462958,-9.21658994&heading=239.6965234482887&pitch=5&fov=120"
