id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,image filename or link
bd344804-048c-4aee-a3b8-08e0ab6f1f43,38.7022806,-9.218758374,,,,,,,,,,,,
4143b433-39c6-4acb-8d03-aa2aa0eacd25,38.70817153,-9.216848551,,,,,,,,,,,,
d6157173-104e-4278-8451-b0b41591a3b9,38.70456709,-9.193007271,Portugal,Lisbon,CR,LFM,CDN,06/jul,MIX(RES;COM),BP2,RSH1,RMN,,
a1c89bae-c6e9-42f4-8724-ce396ff886aa,38.7115894,-9.2052169,Portugal,Lisbon,MUR,LWAL,CDL,3,RES,BP1,RSH2,RMT1,,
a517537a-c461-4037-9733-6158af9d8dab,38.69985954,-9.20386228,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH2,RMT1,,
2d8c753e-bd1b-4049-a197-e00f5eac4283,38.70059313,-9.192520978,Portugal,Lisbon,CR,LFINF,CDL,5,MIX(RES;COM),BP1,RSH2,RMT1,,
c825b926-29d9-4e75-bc01-025cc29d7480,38.69967931,-9.204339091,,,,,,,,,,,,
973d1440-5cf7-4fc4-9239-39f8cef6423c,38.70153177,-9.184524142,Portugal,Lisbon,MCF,LWAL,CDH,2,RES,BP2,RSH2,RMT1,,
693f448e-2572-45a6-bc0d-0fd89a83bf80,38.70347084,-9.195821983,Portugal,Lisbon,CR,LFM,CDL,1,COM,BP2,RSH1,RMN,,
14bd130d-dad5-4a3e-aa9c-5c23383768a5,38.6969237,-9.21188175,Portugal,Lisbon,CR,LFM,CDM,4,RES,BP1,RSH1,RMN,,
7256abd8-1c13-43f4-be85-558242e5a734,38.70748691,-9.199337825,Portugal,Lisbon,CR,LDUAL,CDN,1,IND,BP1,RSH2,RMT1,,
4970e136-98a5-4396-9459-ced656ba2f64,38.70225807,-9.202934086,Portugal,Lisbon,MUR,LWAL,CDL,3,RES,BP2,RSH1,RMN,,
43fbab77-4fb4-48a6-81cb-558674da827c,38.70118825,-9.182157583,Portugal,Lisbon,MUR,LWAL,CDN,3,RES,BP2,RSH1,RMN,,
f0b3fc76-8f17-49c0-9278-e826a91828b3,38.7089281,-9.1981521,Portugal,Lisbon,MUR,LWAL,CDL,3,RES,BP2,RSH2,RMT1,,
4c076705-c911-4b47-a98c-6b1aa1136d48,38.70351655,-9.221329882,,,,,,,,,,,,
941bc555-cb2b-42fc-8580-de35463ada4f,38.70138595,-9.1902931,Portugal,Lisbon,CR,LFM,CDN,06/jul,RES,BP3,RSH1,RMN,,
5f6d81b9-f4d1-4787-b208-cf799fb1b7a4,38.70650061,-9.177401316,Portugal,Lisbon,MUR,LWAL,CDL,5,RES,BP2,RSH1,RMN,,
5cb61bf7-2e31-497a-87d6-80d806b50e9b,38.69818219,-9.182431033,,,,,,,,,,,,
80ca62ce-79cc-4572-bbf4-b1a3bfd1e1c9,38.71063243,-9.193018673,,,,,,,,,,,,
79dc847c-29a6-4399-8641-a61119f04f7b,38.70532156,-9.199410625,Portugal,Lisbon,MUR,LWAL,CDN,2,COM,BP1,RSH2,RMT1,,
f73e6ae9-d29f-4c94-b59d-22cd78a40582,38.69516974,-9.21567624,Portugal,Lisbon,CR,LFINF,CDL,4,RES,BP1,RSH3,RMT1,,
d5a23854-3744-42f0-8e86-3fb250fee0cc,38.71134073,-9.192818595,,,,,,,,,,,,
b3ed4eaf-f24d-460c-896f-f25699b579b9,38.70108368,-9.184390419,Portugal,Lisbon,CR,LFM,CDL,5,RES,BP2,RSH1,RMN,,
09a4a3d8-b99b-4c12-976d-89e38c147218,38.71065361,-9.20248595,Portugal,Lisbon,MCF,LWAL,CDH,4,RES,BP1,RSH1,RMN,,
d2ab3796-6006-401a-85f2-71ce5bfbf256,38.70672345,-9.177285613,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP2,RSH2,RMT1,,
755dae0e-7d2b-4f49-afa1-029e63d2fd88,38.71262746,-9.209763086,,,,,,,,,,,,
fe3d566a-c481-4c58-a7e2-9dc25229c63e,38.70189055,-9.18441925,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,RSH2,RMT1,,
1c3f406f-afe4-4a46-822f-a0f74bb1745b,38.70641517,-9.210525585,,,,,,,,,,,,
ea15e707-517c-469b-95a3-5e9b62915ecb,38.6984483,-9.18166275,,,,,,,,,,,,
22e64ee6-6d93-48ee-a663-b7611e2abad3,38.7082651,-9.199739626,,,,,,,,,,,,
e9c2d4a9-2af8-4e58-a936-f9570ee6df7a,38.69787638,-9.20328856,,,,,,,,,,,,
abdf6a4e-e66f-4bba-838e-1b3f86e5071e,38.69630168,-9.216156622,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
07f9ff39-b08d-48ed-b431-ac084c18d1c4,38.69847641,-9.188962562,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,RSH1,RMN,,
0996f2be-39f4-4fea-9e6b-ef4d2cfdd28c,38.70552646,-9.183654861,Portugal,Lisbon,CR,LFM,CDN,4,COM,BP3,RSH1,RMN,,
9a0a9cc9-6c27-4963-aa45-782e5c9fe6fe,38.71985402,-9.179060245,,,,,,,,,,,,
20448c57-b1bd-47cd-b71d-2973e7987f36,38.71585856,-9.217179301,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH2,RMT1,,
40b760bc-bf54-455b-b901-fd6bdecacca4,38.70782267,-9.185462035,,,,,,,,,,,,
4ee68587-257e-4c82-9612-6d708aee9820,38.71124466,-9.205847433,Portugal,Lisbon,CR,LFM,CDN,2,COM,BP2,RSH1,RMN,,
6760b5c6-2dd1-4687-ae4d-410edf19238d,38.70553413,-9.216838215,,,,,,,,,,,,
ee3e7840-3482-4bf8-81ab-93d95fd99d3a,38.70489442,-9.181007506,Portugal,Lisbon,MCF,LWAL,CDN,4,MIX(RES;COM),BP2,RSH1,RMN,,
62af48db-0282-416d-81ab-cdac5d2eeeff,38.70240364,-9.191032721,Portugal,Lisbon,CR,LFINF,CDL,4,RES,BP2,RSH1,RMN,,
51f7fea0-2a03-4cb4-a6d6-9a310dbef224,38.71259911,-9.206171613,,,,,,,,,,,,
d89aa070-666b-48e5-8a94-b44c8713b901,38.69737317,-9.2170717,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
9c1e0d67-1319-442d-af19-78a72e7a4659,38.70802331,-9.199305996,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BP2,RSH2,RMT1,,
100d1543-51a5-49d3-b024-9c6fdefab86b,38.70493435,-9.1924043,,,,,,,,,,,,
b480b497-8d88-4086-a0aa-4e0d5975c6df,38.69695171,-9.224099582,,,,,,,,,,,,
32b540ce-3ec9-4c38-bedd-7a1276fd2dc1,38.70818392,-9.17489315,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH2,RMT1,,
ae7339fd-a176-4d65-a43b-4262f070f1d8,38.70089617,-9.182896806,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP2,RSH1,RMN,,
0fc44b26-1077-4874-800d-a10e930ee773,38.70550995,-9.206659169,,,,,,,,,,,,
34308959-7f12-4c47-af41-8aabecd920db,38.70271129,-9.21673191,,,,,,,,,,,,
ceedf0d8-b0c2-419f-aaa4-ea22690439cd,38.70638505,-9.178560015,,,,,,,,,,,,
e86d05f9-24a9-480e-8e97-37a7671f5fbb,38.714635,-9.180179119,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP1,RSH2,RMT1,,
437a81f5-38bf-4f53-84fe-aaf5aa079f73,38.70564602,-9.19935404,Portugal,Lisbon,CR,LFM,CDM,1,COM,BP2,RSH1,RMN,,
cb2cc0e5-d003-4cfb-8596-7bafbb046381,38.7070305,-9.212387951,Portugal,Lisbon,MCF,LWAL,CDM,3,RES,BP2,RSH1,RMN,,
9053ffaa-adf5-4c10-a958-ca2e0a8bdcfe,38.71486956,-9.205521559,,,,,,,,,,,,
c9a430f7-be7a-4734-ac52-5f8756e0de6f,38.70154508,-9.204309968,Portugal,Lisbon,MCF,LWAL,CDH,2,RES,BP1,RSH1,RMN,,
674c65f2-8b19-4d2f-86fd-2b5f80959a6c,38.70831797,-9.206982052,,,,,,,,,,,,
b8403876-ac09-48bd-834f-e633773be0b2,38.69813684,-9.208147808,Portugal,Lisbon,MCF,LWAL,CDM,2,COM,BP2,RSH1,RMN,,
ded3e8b0-df1c-4a38-83c4-43ee858234e6,38.71142121,-9.200280939,,,,,,,,,,,,
4f6b8805-f8b9-4c41-bad8-dc6c2be0d081,38.71763312,-9.211448138,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH1,RMN,,
c5e3b59f-c00f-4288-b418-bd224439915e,38.6997517,-9.210651569,,,,,,,,,,,,
9b5b0e60-5647-4483-b30f-aa404997a595,38.70330905,-9.217491892,,,,,,,,,,,,
