ID,Latitude,Longitude,Country,City,LLRS Material,LLRS,Code Level,Number of Stories,Occupancy,Block Position,Taxonomy,Probability
1.0,10.91730211,-74.78983503,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDH,6-7,MIX,BP2,CR/LFM+CDH/H:6-7/MIX/BP2/RSH1+RMN,0.9804292357927155
1.0,10.91730211,-74.78983503,Medellín,Colombia,MUR,LFM,CDN,2,RES,BP2,MUR/LFM+CDN/H:2/RES/BP2/RSH2+RMT6,0.01957076420728449
2.0,10.91652741,-74.80090658,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDH,6-7,MIX,BP2,CR/LFM+CDH/H:6-7/MIX/BP2/RSH1+RMN,0.9807111658715122
2.0,10.91652741,-74.80090658,Medellín,Colombia,MUR,LFM,CDN,2,RES,BP2,MUR/LFM+CDN/H:2/RES/BP2/RSH2+RMT6,0.019288834128487857
3.0,10.91356325,-74.76865901,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDH,6-7,MIX,BP2,CR/LFM+CDH/H:6-7/MIX/BP2/RSH1+RMN,0.9782508814826811
3.0,10.91356325,-74.76865901,Medellín,Colombia,MUR,LFM,CDN,2,RES,BP2,MUR/LFM+CDN/H:2/RES/BP2/RSH2+RMT6,0.021749118517318828
4.0,10.90531506,-74.78444731,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDH,6-7,MIX,BP2,CR/LFM+CDH/H:6-7/MIX/BP2/RSH1+RMN,0.977757058953616
4.0,10.90531506,-74.78444731,Medellín,Colombia,MUR,LFM,CDN,2,RES,BP2,MUR/LFM+CDN/H:2/RES/BP2/RSH2+RMT6,0.022242941046384055
5.0,10.93200669,-74.79029702,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDH,6-7,MIX,BP2,CR/LFM+CDH/H:6-7/MIX/BP2/RSH1+RMN,0.9833769790022722
5.0,10.93200669,-74.79029702,Medellín,Colombia,MUR,LFM,CDN,2,RES,BP2,MUR/LFM+CDN/H:2/RES/BP2/RSH2+RMT6,0.016623020997727847
