ID,Latitude,Longitude,Country,City,LLRS Material,LLRS,Code Level,Number of Stories,Occupancy,Block Position,Taxonomy
1,10.92224755,-74.78642608,Colombia,Barranquilla,MCF,LWAL,LC,1,RES,BP1,MCF/LWAL/HEX:1/CODE:LC/RES/BP1
2,10.91268031,-74.80288191,Colombia,Soledad,CR,LFM,IC,3,RES,BP2,CR/LFM/HEX:3/CODE:IC/RES/BP2
3,10.91647181,-74.76986198,Colombia,Soledad,CR,LFINF,IC,2,COM,BP1,CR/LFINF/HEX:2/CODE:IC/COM/BP1
4,10.90251035,-74.79685532,Colombia,Soledad,CR,LFM,LC,2,RES,BP2,CR/LFM/HEX:2/CODE:LC/RES/BP2
5,10.93282541,-74.79224013,Colombia,Soledad,MUR,LWAL,NC,1,RES,BP2,MUR/LWAL/HEX:1/CODE:NC/RES/BP2
6,10.91608854,-74.77881787,Colombia,Soledad,MCF,LWAL,LC,2,RES,BP1,MCF/LWAL/HEX:2/CODE:LC/RES/BP1
7,10.91744156,-74.78652419,Colombia,Soledad,MUR,LWAL,NC,1,COM,BP2,MUR/LWAL/HEX:1/CODE:NC/COM/BP2
8,10.91968505,-74.79215175,Colombia,Barranquilla,MUR,LWAL,LC,1,RES,BP1,MUR/LWAL/HEX:1/CODE:LC/RES/BP1
9,10.91641931,-74.79188353,Colombia,Barranquilla,MUR,LWAL,NC,1,RES,BP2,MUR/LWAL/HEX:1/CODE:NC/RES/BP2
10,10.91498659,-74.79116469,Colombia,Soledad,MCF,LWAL,LC,2,RES,BP1,MCF/LWAL/HEX:2/CODE:LC/RES/BP1
11,10.91490231,-74.78657275,Colombia,Soledad,MUR,LWAL,NC,1,COM,BP2,MUR/LWAL/HEX:1/CODE:NC/COM/BP2
12,10.91828107,-74.78850814,Colombia,Soledad,MUR,LWAL,LC,1,RES,BP1,MUR/LWAL/HEX:1/CODE:LC/RES/BP1
13,10.91463544,-74.7929482,Colombia,Soledad,MUR,LWAL,NC,1,RES,BP2,MUR/LWAL/HEX:1/CODE:NC/RES/BP2
14,10.91402157,-74.79093231,Colombia,Soledad,MCF,LWAL,LC,2,RES,BP1,MCF/LWAL/HEX:2/CODE:LC/RES/BP1
15,10.91522426,-74.78794675,Colombia,Barranquilla,MUR,LWAL,NC,1,COM,BP2,MUR/LWAL/HEX:1/CODE:NC/COM/BP2
16,10.91694059,-74.7878064,Colombia,Soledad,MUR,LWAL,LC,1,RES,BP1,MUR/LWAL/HEX:1/CODE:LC/RES/BP1
17,10.91899516,-74.78603293,Colombia,Barranquilla,MUR,LWAL,NC,1,RES,BP2,MUR/LWAL/HEX:1/CODE:NC/RES/BP2
