id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,probability
1.0,10.91730211,-74.78983503,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.3804732630707776
1.0,10.91730211,-74.78983503,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.3149489696175979
1.0,10.91730211,-74.78983503,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.2756482264162257
1.0,10.91730211,-74.78983503,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDN,1,RES,BP2,RSH1,RMN,CR/LFM+CDN/H:1/RES/BP2/RSH1+RMN,0.025716043265451342
1.0,10.91730211,-74.78983503,Santa Marta,Colombia,MUR,LFM,CDM,1,OCO,BP2,RSH1,RMN,MUR/LFM+CDM/H:1/OCO/BP2/RSH1+RMN,0.003213497629947206
2.0,10.91652741,-74.80090658,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.38109142274129315
2.0,10.91652741,-74.80090658,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.336099770595369
2.0,10.91652741,-74.80090658,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.2632843419921824
2.0,10.91652741,-74.80090658,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDN,1,RES,BP2,RSH1,RMN,CR/LFM+CDN/H:1/RES/BP2/RSH1+RMN,0.017403407031703517
2.0,10.91652741,-74.80090658,Santa Marta,Colombia,MUR,LFM,CDM,1,OCO,BP2,RSH1,RMN,MUR/LFM+CDM/H:1/OCO/BP2/RSH1+RMN,0.0021210576394519627
3.0,10.91356325,-74.76865901,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.3094403178808191
3.0,10.91356325,-74.76865901,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.29700231686969514
3.0,10.91356325,-74.76865901,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.29145550099990275
3.0,10.91356325,-74.76865901,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDN,1,RES,BP2,RSH1,RMN,CR/LFM+CDN/H:1/RES/BP2/RSH1+RMN,0.08925765499924826
3.0,10.91356325,-74.76865901,Santa Marta,Colombia,MUR,LFM,CDM,1,OCO,BP2,RSH1,RMN,MUR/LFM+CDM/H:1/OCO/BP2/RSH1+RMN,0.012844209250334693
4.0,10.90531506,-74.78444731,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.3173580662008196
4.0,10.90531506,-74.78444731,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.3165070648073783
4.0,10.90531506,-74.78444731,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.30477269568627346
4.0,10.90531506,-74.78444731,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDN,1,RES,BP2,RSH1,RMN,CR/LFM+CDN/H:1/RES/BP2/RSH1+RMN,0.05363173996118304
4.0,10.90531506,-74.78444731,Santa Marta,Colombia,MUR,LFM,CDM,1,OCO,BP2,RSH1,RMN,MUR/LFM+CDM/H:1/OCO/BP2/RSH1+RMN,0.007730433344345544
5.0,10.93200669,-74.79029702,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.3245757182864116
5.0,10.93200669,-74.79029702,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.31269813663372076
5.0,10.93200669,-74.79029702,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.280352098290597
5.0,10.93200669,-74.79029702,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDN,1,RES,BP2,RSH1,RMN,CR/LFM+CDN/H:1/RES/BP2/RSH1+RMN,0.07460017413200101
5.0,10.93200669,-74.79029702,Santa Marta,Colombia,MUR,LFM,CDM,1,OCO,BP2,RSH1,RMN,MUR/LFM+CDM/H:1/OCO/BP2/RSH1+RMN,0.007773872657269646
