id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch,roof_shape,roof_material,Image Quality,taxonomy,Image_filename
47_1,19.388325,-99.15521111,Mexico,Mexico City,CR,LFINF,CDM,3,EDU,BP3,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:3/EDU/BP3,IMG_0279.jpg
48_1,19.42803889,-99.15440278,Mexico,Mexico City,MCF,LWAL,CDL,2,MIX,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:2/MIX/BP2,IMG_2783.jpg
45_1,19.42889444,-99.15547222,Mexico,Mexico City,CR,LFM,CDL,5,MIX,BP2,,RSH1,RMN,Good,CR/LFM+CDL/H:5/MIX/BP2,IMG_2784.jpg
46_1,19.42876944,-99.15548611,Mexico,Mexico City,CR,LWAL,CDM,4,RES,BP2,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:4/RES/BP2,IMG_2785.jpg
43_1,19.42877778,-99.15563333,Mexico,Mexico City,MCF,LWAL,CDL,4,MIX,BP1,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:4/MIX/BP1,IMG_2787.jpg
44_1,19.42891111,-99.15568611,Mexico,Mexico City,CR,LFM,CDL,4,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/MIX/BP3,IMG_2788.jpg
40_1,19.42934167,-99.15611389,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,4,MIX,BP3,2004-2017,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:4/MIX/BP3,IMG_2789.jpg
41_1,19.42900278,-99.15656944,Mexico,Mexico City,CR,LFINF,CDL,5,RES,BP3,<1985,RSH1,RMN,Good,CR/LFINF+CDL/H:5/RES/BP3,IMG_2790.jpg
38_1,19.42910278,-99.15663056,Mexico,Mexico City,CR,LFM,CDL,5,MIX,BP3,<1985,RSH1,RMN,Good,CR/LFM+CDL/H:5/MIX/BP3,IMG_2791.jpg
37_1,19.42918333,-99.15665556,Mexico,Mexico City,MUR,LWAL,CDN,3,OCO,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:3/OCO/BP3,IMG_2792.jpg
49_1,19.42923889,-99.15682222,Mexico,Mexico City,CR,LFM,CDL,4,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/MIX/BP3,IMG_2793.jpg
42_1,19.42927222,-99.15685278,Mexico,Mexico City,MUR,LWAL,CDN,3,RES,BP3,<1985,RSH4,RMT7,Good,MUR/LWAL+CDN/H:3/RES/BP3,IMG_2795.jpg
35_1,19.42936944,-99.15735556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,RES,BP2,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP2,IMG_2796.jpg
39_1,19.42869722,-99.1575,Mexico,Mexico City,MCF,LWAL,CDL,5,RES,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:5/RES/BP2,IMG_2797.jpg
32_1,19.42941667,-99.15818889,Mexico,Mexico City,MCF,LWAL,CDL,5,MIX,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:5/MIX/BP2,IMG_2798.jpg
36_1,19.42912778,-99.1586,Mexico,Mexico City,MCF,LWAL,CDL,2,MIX,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:2/MIX/BP3,IMG_2799.jpg
20_1,19.42901667,-99.15893611,Mexico,Mexico City,MCF,LWAL,CDM,4,MIX,BP3,,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/MIX/BP3,IMG_2801.jpg
28_1,19.42858056,-99.15990556,Mexico,Mexico City,CR,LDUAL,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LDUAL+CDM/H:4/RES/BP3,IMG_2803.jpg
25_1,19.42854722,-99.15999722,Mexico,Mexico City,CR,LFINF,CDM,5,RES,BP2,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:5/RES/BP2,IMG_2804.jpg
26_1,19.42841944,-99.16009444,Mexico,Mexico City,CR,LWAL,CDM,6.0-7.0,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:6-7/RES/BP3,IMG_2805.jpg
33_1,19.42629722,-99.15960556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,RES,BP3,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP3,IMG_2807.jpg
31_1,19.42295278,-99.15994167,Mexico,Mexico City,MUR,LWAL,CDN,3,MIX,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:3/MIX/BP3,IMG_2810.jpg
