id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,probability
1.0,10.91730211,-74.78983503,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.5471111580657083
1.0,10.91730211,-74.78983503,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.4528888419342917
2.0,10.91652741,-74.80090658,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.5313665676349182
2.0,10.91652741,-74.80090658,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.46863343236508187
3.0,10.91356325,-74.76865901,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.5102548866936449
3.0,10.91356325,-74.76865901,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.4897451133063552
4.0,10.90531506,-74.78444731,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.500671279544978
4.0,10.90531506,-74.78444731,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,0.4993287204550219
5.0,10.93200669,-74.79029702,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,0.5093190561333945
5.0,10.93200669,-74.79029702,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,0.4906809438666055
