id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,probability
1.0,10.91730211,-74.78983503,Colombia,Soledad,MUR,LFM,CDN,2,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91720225,-74.79548172&heading=359.550339049969&pitch=5&fov=120",0.3895476896514685
1.0,10.91730211,-74.78983503,Colombia,Soledad,MUR,LWAL,CDN,2,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91700694,-74.79665105&heading=180.47719205797654&pitch=5&fov=120",0.3224606178169813
1.0,10.91730211,-74.78983503,Colombia,Soledad,MUR,LWAL,CDL,1,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.9152632,-74.79735234&heading=269.39197482196005&pitch=5&fov=120",0.2822225375058499
1.0,10.91730211,-74.78983503,Colombia,Santa Marta,MUR,LWAL,CDH,1,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=11.24332687,-74.2078904&heading=9.487725964710421&pitch=5&fov=120",0.0032901407245889322
1.0,10.91730211,-74.78983503,Colombia,Cartagena,MUR,LWAL,CDM,1,RES,BP2,RSH1,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.41429423,-75.51623455&heading=356.1062867533767&pitch=5&fov=120",0.002479014301111214
2.0,10.91652741,-74.80090658,Colombia,Soledad,MUR,LWAL,CDL,1,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.9152632,-74.79735234&heading=269.39197482196005&pitch=5&fov=120",0.38719505806226306
2.0,10.91652741,-74.80090658,Colombia,Soledad,MUR,LWAL,CDN,2,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91700694,-74.79665105&heading=180.47719205797654&pitch=5&fov=120",0.34148281074993164
2.0,10.91652741,-74.80090658,Colombia,Soledad,MUR,LFM,CDN,2,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91720225,-74.79548172&heading=359.550339049969&pitch=5&fov=120",0.2675011558939026
2.0,10.91652741,-74.80090658,Colombia,Santa Marta,MUR,LWAL,CDH,1,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=11.24332687,-74.2078904&heading=9.487725964710421&pitch=5&fov=120",0.0021550289165613947
2.0,10.91652741,-74.80090658,Colombia,Cartagena,MUR,LWAL,CDM,1,RES,BP2,RSH1,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.41429423,-75.51623455&heading=356.1062867533767&pitch=5&fov=120",0.0016659463773412823
3.0,10.91356325,-74.76865901,Colombia,Soledad,MUR,LFM,CDN,2,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91720225,-74.79548172&heading=359.550339049969&pitch=5&fov=120",0.3363399461273863
3.0,10.91356325,-74.76865901,Colombia,Soledad,MUR,LWAL,CDN,2,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91700694,-74.79665105&heading=180.47719205797654&pitch=5&fov=120",0.3228207104354652
3.0,10.91356325,-74.76865901,Colombia,Soledad,MUR,LWAL,CDL,1,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.9152632,-74.79735234&heading=269.39197482196005&pitch=5&fov=120",0.3167917101952862
3.0,10.91356325,-74.76865901,Colombia,Santa Marta,MUR,LWAL,CDH,1,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=11.24332687,-74.2078904&heading=9.487725964710421&pitch=5&fov=120",0.013960755588967252
3.0,10.91356325,-74.76865901,Colombia,Cartagena,MUR,LWAL,CDM,1,RES,BP2,RSH1,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.41429423,-75.51623455&heading=356.1062867533767&pitch=5&fov=120",0.010086877652895074
4.0,10.90531506,-74.78444731,Colombia,Soledad,MUR,LFM,CDN,2,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91720225,-74.79548172&heading=359.550339049969&pitch=5&fov=120",0.33328177885617455
4.0,10.90531506,-74.78444731,Colombia,Soledad,MUR,LWAL,CDL,1,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.9152632,-74.79735234&heading=269.39197482196005&pitch=5&fov=120",0.33238807773929246
4.0,10.90531506,-74.78444731,Colombia,Soledad,MUR,LWAL,CDN,2,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91700694,-74.79665105&heading=180.47719205797654&pitch=5&fov=120",0.3200649266019836
4.0,10.90531506,-74.78444731,Colombia,Santa Marta,MUR,LWAL,CDH,1,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=11.24332687,-74.2078904&heading=9.487725964710421&pitch=5&fov=120",0.008118314455263453
4.0,10.90531506,-74.78444731,Colombia,Cartagena,MUR,LWAL,CDM,1,RES,BP2,RSH1,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.41429423,-75.51623455&heading=356.1062867533767&pitch=5&fov=120",0.006146902347285835
5.0,10.93200669,-74.79029702,Colombia,Soledad,MUR,LFM,CDN,2,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91720225,-74.79548172&heading=359.550339049969&pitch=5&fov=120",0.34857729057951875
5.0,10.93200669,-74.79029702,Colombia,Soledad,MUR,LWAL,CDN,2,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91700694,-74.79665105&heading=180.47719205797654&pitch=5&fov=120",0.33582139111485665
5.0,10.93200669,-74.79029702,Colombia,Soledad,MUR,LWAL,CDL,1,MIX(RES;COM),BP2,RSH1,RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.9152632,-74.79735234&heading=269.39197482196005&pitch=5&fov=120",0.30108344316806057
5.0,10.93200669,-74.79029702,Colombia,Santa Marta,MUR,LWAL,CDH,1,MIX(RES;COM),BP2,RSH2,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=11.24332687,-74.2078904&heading=9.487725964710421&pitch=5&fov=120",0.008348731329895984
5.0,10.93200669,-74.79029702,Colombia,Cartagena,MUR,LWAL,CDM,1,RES,BP2,RSH1,RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.41429423,-75.51623455&heading=356.1062867533767&pitch=5&fov=120",0.006169143807668117
