id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,probability
1.0,10.91730211,-74.78983503,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN,0.4983223464538824
1.0,10.91730211,-74.78983503,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6,0.3108466966875763
1.0,10.91730211,-74.78983503,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6,0.18219074960222098
1.0,10.91730211,-74.78983503,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN,0.008640207256320242
2.0,10.91652741,-74.80090658,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6,0.2710165327787119
2.0,10.91652741,-74.80090658,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6,0.3528323801733475
2.0,10.91652741,-74.80090658,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN,0.3698954898537477
2.0,10.91652741,-74.80090658,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN,0.006255597194192822
3.0,10.91356325,-74.76865901,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN,0.44136646628462434
3.0,10.91356325,-74.76865901,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6,0.31811107861348026
3.0,10.91356325,-74.76865901,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6,0.20813878563109597
3.0,10.91356325,-74.76865901,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN,0.032383669470799466
4.0,10.90531506,-74.78444731,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN,0.4413100968214266
4.0,10.90531506,-74.78444731,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6,0.22052641769057088
4.0,10.90531506,-74.78444731,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6,0.31902758103863876
4.0,10.90531506,-74.78444731,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN,0.019135904449363896
5.0,10.93200669,-74.79029702,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN,0.45240642179990065
5.0,10.93200669,-74.79029702,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6,0.32595391840602905
5.0,10.93200669,-74.79029702,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6,0.19520653383021247
5.0,10.93200669,-74.79029702,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN,0.02643312596385781
