id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy
1,10.99801513,-74.8074948,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN
2,10.91720225,-74.79548172,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN
3,10.91700694,-74.79665105,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6
4,10.99911513,-74.8075948,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN
5,10.91730225,-74.79538172,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN
6,10.91710694,-74.79665105,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6
7,10.9153632,-74.79735234,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6
8,10.41439423,-75.51623455,Cartagena,Colombia,MUR,LN,CDM,1,RES,BPD,RSH1,RMN,MUR/LN+CDM/H:1/RES/BPD/RSH1+RMN
9,11.24342687,-74.2078904,Santa Marta,Colombia,MUR,LFINF,CDN,1,COM,BPD,RSH1,RMT6,MUR/LFINF+CDN/H:1/COM/BPD/RSH1+RMT6
10,10.99701513,-74.8075248,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN
11,10.91740225,-74.79558172,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN
12,10.91720694,-74.79665105,Soledad,Colombia,MCF,LFINF,CDM,2,COM,BP2,RSH1,RMT6,MCF/LFINF+CDM/H:2/COM/BP2/RSH1+RMT6
13,10.9154632,-74.79735234,Soledad,Colombia,MUR,LFINF,CDH,1,COM,BP2,RSH1,RMT6,MUR/LFINF+CDH/H:1/COM/BP2/RSH1+RMT6
14,10.41449423,-75.51623455,Cartagena,Colombia,MUR,LN,CDM,1,RES,BPD,RSH1,RMN,MUR/LN+CDM/H:1/RES/BPD/RSH1+RMN
15,11.24352687,-74.2078904,Santa Marta,Colombia,MUR,LFINF,CDN,1,COM,BPD,RSH1,RMT6,MUR/LFINF+CDN/H:1/COM/BPD/RSH1+RMT6
16,10.99601513,-74.8083948,Barranquilla,Colombia,MUR,LFINF,CDN,2,COM,BPD,RSH1,RMN,MUR/LFINF+CDN/H:2/COM/BPD/RSH1+RMN
17,10.91750225,-74.79558172,Soledad,Colombia,MUR,LFINF,CDN,2,RES,BP1,RSH1,RMN,MUR/LFINF+CDN/H:2/RES/BP1/RSH1+RMN
