id,country,latitude,value,longitude
1,Mexico,19.388325,1.00E+08,-99.15521111
2,Mexico,19.42803889,1.00E+08,-99.15440278
3,Mexico,19.42889444,1.00E+08,-99.15547222
4,Mexico,19.42876944,1.00E+08,-99.15548611
5,Mexico,19.42877778,1.00E+08,-99.15563333
6,Mexico,19.42891111,1.00E+08,-99.15568611
7,Mexico,19.42934167,1.00E+08,-99.15611389
8,Mexico,19.42900278,1.00E+08,-99.15656944
9,Mexico,19.42910278,1.00E+08,-99.15663056
10,Mexico,19.42918333,1.00E+08,-99.15665556
11,Mexico,19.42923889,1.00E+08,-99.15682222
12,Mexico,19.42927222,1.00E+08,-99.15685278
13,Mexico,19.42936944,1.00E+08,-99.15735556
14,Mexico,19.42869722,1.00E+08,-99.1575
15,Mexico,19.42941667,1.00E+08,-99.15818889
16,Mexico,19.42912778,1.00E+08,-99.1586
17,Mexico,19.42901667,1.00E+08,-99.15893611
18,Mexico,19.42858056,1.00E+08,-99.15990556
19,Mexico,19.42854722,1.00E+08,-99.15999722
20,Mexico,19.42841944,1.00E+08,-99.16009444
21,Mexico,19.42629722,1.00E+08,-99.15960556
22,Mexico,19.42295278,1.00E+08,-99.15994167
23,Mexico,19.42291944,1.00E+08,-99.16013333
24,Mexico,19.42342222,1.00E+08,-99.16117778
25,Mexico,19.423675,1.00E+08,-99.16111111
26,Mexico,19.42396111,1.00E+08,-99.16123333
27,Mexico,19.4225,1.00E+08,-99.16207778
28,Mexico,19.42240833,1.00E+08,-99.1622
29,Mexico,19.42268889,1.00E+08,-99.16226111
30,Mexico,19.42250278,1.00E+08,-99.16334444
31,Mexico,19.421525,1.00E+08,-99.16017778
32,Mexico,19.42161389,1.00E+08,-99.16013333
33,Mexico,19.42135556,1.00E+08,-99.16007222
34,Mexico,19.42109167,1.00E+08,-99.15998889
35,Mexico,19.42107778,1.00E+08,-99.15918611
36,Mexico,19.41936111,1.00E+08,-99.15891944
37,Mexico,19.41930833,1.00E+08,-99.15906389
38,Mexico,19.41935833,1.00E+08,-99.15909444
39,Mexico,19.41833333,1.00E+08,-99.15720278
40,Mexico,19.41809722,1.00E+08,-99.15684444
41,Mexico,19.41812778,1.00E+08,-99.15667778
42,Mexico,19.41814722,1.00E+08,-99.15639444
43,Mexico,19.41795556,1.00E+08,-99.15735
44,Mexico,19.41794444,1.00E+08,-99.15746944
45,Mexico,19.41772778,1.00E+08,-99.15837222
46,Mexico,19.41765278,1.00E+08,-99.15710556
47,Mexico,19.41741111,1.00E+08,-99.15714167
48,Mexico,19.41748333,1.00E+08,-99.15643333
49,Mexico,19.41680833,1.00E+08,-99.15682222
50,Mexico,19.41635,1.00E+08,-99.15711944
51,Mexico,19.41617222,1.00E+08,-99.1576
52,Mexico,19.41624167,1.00E+08,-99.15670833
53,Mexico,19.41600556,1.00E+08,-99.15661667
54,Mexico,19.41584722,1.00E+08,-99.15658611
55,Mexico,19.41534722,1.00E+08,-99.15651667
56,Mexico,19.41519722,1.00E+08,-99.15646389
57,Mexico,19.41464444,1.00E+08,-99.15693611
58,Mexico,19.41476944,1.00E+08,-99.15615833
59,Mexico,19.41485556,1.00E+08,-99.15590556
60,Mexico,19.41488611,1.00E+08,-99.15586944
61,Mexico,19.41406389,1.00E+08,-99.15615
62,Mexico,19.41361111,1.00E+08,-99.15647778
63,Mexico,19.41359167,1.00E+08,-99.15654722
64,Mexico,19.41359444,1.00E+08,-99.1566
65,Mexico,19.41369722,1.00E+08,-99.15647778
66,Mexico,19.41372778,1.00E+08,-99.15571667
67,Mexico,19.41370278,1.00E+08,-99.156075
68,Mexico,19.41311111,1.00E+08,-99.155975
69,Mexico,19.41320278,1.00E+08,-99.15598333
70,Mexico,19.41238611,1.00E+08,-99.15577778
71,Mexico,19.41229444,1.00E+08,-99.15575278
72,Mexico,19.41224167,1.00E+08,-99.15573889
73,Mexico,19.41202222,1.00E+08,-99.15557778
74,Mexico,19.41211667,1.00E+08,-99.15860833
75,Mexico,19.41189167,1.00E+08,-99.15992778
76,Mexico,19.41122222,1.00E+08,-99.16093333
77,Mexico,19.411475,1.00E+08,-99.16204722
78,Mexico,19.41118889,1.00E+08,-99.16249167
79,Mexico,19.41112222,1.00E+08,-99.16358889
80,Mexico,19.41084722,1.00E+08,-99.16514722
81,Mexico,19.41066667,1.00E+08,-99.16584722
82,Mexico,19.42071667,1.00E+08,-99.16674722
83,Mexico,19.42105278,1.00E+08,-99.16693056
84,Mexico,19.42223056,1.00E+08,-99.16720556
85,Mexico,19.42269722,1.00E+08,-99.16711389
86,Mexico,19.43777778,1.00E+08,-99.20864167
87,Mexico,19.43746111,1.00E+08,-99.20863333
88,Mexico,19.436875,1.00E+08,-99.208725
89,Mexico,19.43648333,1.00E+08,-99.20833611
90,Mexico,19.436775,1.00E+08,-99.20790833
91,Mexico,19.43715,1.00E+08,-99.20803056
92,Mexico,19.43728889,1.00E+08,-99.20786944
93,Mexico,19.4365,1.00E+08,-99.20555833
94,Mexico,19.43671944,1.00E+08,-99.20404167
95,Mexico,19.43735833,1.00E+08,-99.20391944
96,Mexico,19.43759444,1.00E+08,-99.20394167
97,Mexico,19.437075,1.00E+08,-99.20397222
98,Mexico,19.43696667,1.00E+08,-99.20407778
99,Mexico,19.43675833,1.00E+08,-99.204025
100,Mexico,19.43620278,1.00E+08,-99.20339167
