id,occupancy,latitude,longitude,country,city,material,llrs,code_level,n_stories,block_position,epoch,roof_shape,roof_material,Image Quality,taxonomy,Image_filename
57_1,MIX,19.42223056,-99.16720556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,BP3,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP3,IMG_2895.jpg
93_1,MIX,19.41584722,-99.15658611,Mexico,Mexico City,S,LFM,CDH,6.0-7.0,BP3,2017-2023,RSH1,RMN,Good,S/LFM+CDH/H:6-7/RES/BP3,IMG_2848.jpg
73_1,MIX,19.41229444,-99.15575278,Mexico,Mexico City,CR,LFM,CDL,4,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/RES/BP3,IMG_2871.jpg
96_1,RES,19.41765278,-99.15710556,Mexico,Mexico City,CR,LFM,CDL,5,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:5/MIX/BP3,IMG_2840.jpg
11_1,OCO,19.41772778,-99.15837222,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,5,BP1,2004-2017,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:5/RES/BP1,IMG_2839.jpg
5_1,MIX,19.41809722,-99.15684444,Mexico,Mexico City,MCF,LWAL,CDM,6.0-7.0,BP3,,RSH1,RMN,Good,MCF/LWAL+CDM/H:Select Number of Stories/RES/BP3,IMG_2831.jpg
29_1,RES,19.42291944,-99.16013333,Mexico,Mexico City,CR,LFINF,CDL,6.0-7.0,BP2,<1985,RSH1,RMN,Good,CR/LFINF+CDL/H:6-7/OCO/BP2,IMG_2811.jpg
98_1,RES,19.41066667,-99.16584722,Mexico,Mexico City,CR,LWAL,CDH,6.0-7.0,BP2,2017-2023,RSH1,RMN,Good,CR/LWAL+CDH/H:6-7/RES/BP2,IMG_2890.jpg
49_1,MIX,19.42923889,-99.15682222,Mexico,Mexico City,CR,LFM,CDL,4,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/MIX/BP3,IMG_2793.jpg
47_1,RES,19.388325,-99.15521111,Mexico,Mexico City,CR,LFINF,CDM,3,BP3,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:3/EDU/BP3,IMG_0279.jpg
25_1,MIX,19.42854722,-99.15999722,Mexico,Mexico City,CR,LFINF,CDM,5,BP2,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:5/RES/BP2,IMG_2804.jpg
17_1,OCO,19.421525,-99.16017778,Mexico,Mexico City,MUR,LWAL,CDN,2,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/RES/BP2,IMG_2821.jpg
69_1,OCO,19.41211667,-99.15860833,Mexico,Mexico City,MR,LWAL,CDL,3,BP3,1985-1993,RSH1,RMN,Good,MR/LWAL+CDL/H:3/MIX/BP3,IMG_2874.jpg
16_1,MIX,19.42109167,-99.15998889,Mexico,Mexico City,MUR,LWAL,CDN,5,BP2,<1985,RSH4,RMT7,Good,MUR/LWAL+CDN/H:5/MIX/BP2,IMG_2824.jpg
72_1,RES,19.43715,-99.20803056,Mexico,Mexico City,CR,LFINF,CDM,6.0-7.0,BP3,1993-2004,RSH1,RMN,Good,CR/LFINF+CDM/H:6-7/RES/BP3,IMG_2967.jpg
43_1,OCO,19.42877778,-99.15563333,Mexico,Mexico City,MCF,LWAL,CDL,4,BP1,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:4/MIX/BP1,IMG_2787.jpg
63_1,COM,19.411475,-99.16204722,Mexico,Mexico City,MUR,LWAL,CDL,2,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDL/H:2/RES/BP3,IMG_2883.jpg
61_1,MIX,19.41118889,-99.16249167,Mexico,Mexico City,MUR,LWAL,CDN,2,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/MIX/BP2,IMG_2885.jpg
35_1,OCO,19.42936944,-99.15735556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,BP2,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP2,IMG_2796.jpg
12_1,RES,19.42161389,-99.16013333,Mexico,Mexico City,MCF,LWAL,CDM,4,BP2,1993-2004,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/MIX/BP2,IMG_2822.jpg
94_1,MIX,19.41519722,-99.15646389,Mexico,Mexico City,CR,LFM,CDM,6.0-7.0,BP3,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:6-7/RES/BP3,IMG_2851.jpg
85_1,RES,19.43648333,-99.20833611,Mexico,Mexico City,CR,LFM,CDL,10.0-12.0,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:10-12/MIX/BP3,IMG_2962.jpg
23_1,OCO,19.4225,-99.16207778,Mexico,Mexico City,CR,LFM,CDL,8.0-9.0,BP3,<1985,RSH1,RMN,Good,CR/LFM+CDL/H:8-9/EDU/BP3,IMG_2815.jpg
97_1,MIX,19.41795556,-99.15735,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,5,BP2,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:5/MIX/BP2,IMG_2837.jpg
83_1,RES,19.41238611,-99.15577778,Mexico,Mexico City,CR,LWAL,CDM,4,BP3,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:4/RES/BP3,IMG_2869.jpg
