id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch,roof_shape,roof_material,Image Quality,taxonomy,Image_filename
57_1,19.42223056,-99.16720556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,RES,BP3,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP3,IMG_2895.jpg
93_1,19.41584722,-99.15658611,Mexico,Mexico City,S,LFM,CDH,6.0-7.0,RES,BP3,2017-2023,RSH1,RMN,Good,S/LFM+CDH/H:6-7/RES/BP3,IMG_2848.jpg
73_1,19.41229444,-99.15575278,Mexico,Mexico City,CR,LFM,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/RES/BP3,IMG_2871.jpg
96_1,19.41765278,-99.15710556,Mexico,Mexico City,CR,LFM,CDL,5,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:5/MIX/BP3,IMG_2840.jpg
11_1,19.41772778,-99.15837222,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,5,RES,BP1,2004-2017,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:5/RES/BP1,IMG_2839.jpg
5_1,19.41809722,-99.15684444,Mexico,Mexico City,MCF,LWAL,CDM,6.0-7.0,RES,BP3,,RSH1,RMN,Good,MCF/LWAL+CDM/H:Select Number of Stories/RES/BP3,IMG_2831.jpg
29_1,19.42291944,-99.16013333,Mexico,Mexico City,CR,LFINF,CDL,6.0-7.0,OCO,BP2,<1985,RSH1,RMN,Good,CR/LFINF+CDL/H:6-7/OCO/BP2,IMG_2811.jpg
98_1,19.41066667,-99.16584722,Mexico,Mexico City,CR,LWAL,CDH,6.0-7.0,RES,BP2,2017-2023,RSH1,RMN,Good,CR/LWAL+CDH/H:6-7/RES/BP2,IMG_2890.jpg
49_1,19.42923889,-99.15682222,Mexico,Mexico City,CR,LFM,CDL,4,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/MIX/BP3,IMG_2793.jpg
47_1,19.388325,-99.15521111,Mexico,Mexico City,CR,LFINF,CDM,3,EDU,BP3,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:3/EDU/BP3,IMG_0279.jpg
