region,country_name,value_name
Africa,Algeria,Algeria
Africa,Angola,Angola
Africa,Benin,Benin
Africa,Botswana,Botswana
Africa,Burkina Faso,Burkina_Faso
Africa,Burundi,Burundi
Africa,Cameroon,Cameroon
Africa,Cape Verde,Cape_Verde
Africa,Central African Republic,Central_African_Republic
Africa,Chad,Chad
Africa,Comoros,Comoros
Africa,Congo,Congo
Africa,Democratic Republic of the Congo,Democratic_Republic_of_the_Congo
Africa,Djibouti,Djibouti
Africa,Egypt,Egypt
Africa,Equatorial Guinea,Equatorial_Guinea
Africa,Eritrea,Eritrea
Africa,Eswatini,Eswatini
Africa,Ethiopia,Ethiopia
Africa,Gabon,Gabon
Africa,Gambia,Gambia
Africa,Ghana,Ghana
Africa,Guinea,Guinea
Africa,Guinea Bissau,Guinea_Bissau
Africa,Ivory Coast,Ivory_Coast
Africa,Kenya,Kenya
Africa,Lesotho,Lesotho
Africa,Liberia,Liberia
Africa,Libya,Libya
Africa,Madagascar,Madagascar
Africa,Malawi,Malawi
Africa,Mali,Mali
Africa,Mauritania,Mauritania
Africa,Mauritius,Mauritius
Africa,Morocco,Morocco
Africa,Mozambique,Mozambique
Africa,Namibia,Namibia
Africa,Niger,Niger
Africa,Nigeria,Nigeria
Africa,Rwanda,Rwanda
Africa,Sao Tome and Principe,Sao_Tome_and_Principe
Africa,Senegal,Senegal
Africa,Seychelles,Seychelles
Africa,Sierra Leone,Sierra_Leone
Africa,Somalia,Somalia
Africa,South Africa,South_Africa
Africa,South Sudan,South_Sudan
Africa,Sudan,Sudan
Africa,Tanzania,Tanzania
Africa,Togo,Togo
Africa,Tunisia,Tunisia
Africa,Uganda,Uganda
Africa,Zambia,Zambia
Africa,Zimbabwe,Zimbabwe
Caribbean_Central_America,Anguilla,Anguilla
Caribbean_Central_America,Antigua and Barbuda,Antigua_and_Barbuda
Caribbean_Central_America,Aruba,Aruba
Caribbean_Central_America,Bahamas,Bahamas
Caribbean_Central_America,Barbados,Barbados
Caribbean_Central_America,Belize,Belize
Caribbean_Central_America,British Virgin Islands,British_Virgin_Islands
Caribbean_Central_America,Cayman Islands,Cayman_Islands
Caribbean_Central_America,Costa Rica,Costa_Rica
Caribbean_Central_America,Cuba,Cuba
Caribbean_Central_America,Dominica,Dominica
Caribbean_Central_America,Dominican Republic,Dominican_Republic
Caribbean_Central_America,El Salvador,El_Salvador
Caribbean_Central_America,Grenada,Grenada
Caribbean_Central_America,Guadeloupe,Guadeloupe
Caribbean_Central_America,Guatemala,Guatemala
Caribbean_Central_America,Haiti,Haiti
Caribbean_Central_America,Honduras,Honduras
Caribbean_Central_America,Jamaica,Jamaica
Caribbean_Central_America,Martinique,Martinique
Caribbean_Central_America,Montserrat,Montserrat
